[6990 131105-15:40:13.868] INFO: load service log ok
[6990 131105-15:40:13.868] INFO: host log level DEBUG
[6990 131105-15:40:13.868] INFO: load service dispatcher ok
[6990 131105-15:40:13.868] INFO: load service node ok
[6990 131105-15:40:13.868] INFO: load service centerc ok
[6990 131105-15:40:13.868] INFO: load service cmdctl ok
[6990 131105-15:40:13.868] INFO: load service world ok
[6990 131105-15:40:13.868] INFO: load service gamematch ok
[6990 131105-15:40:13.868] INFO: load service playerdb ok
[6990 131105-15:40:13.868] INFO: node register, NODE[world0000,T03,C-001,L0.0.0.0:0,N127.0.0.1:8300,G0.0.0.0:0]
[6990 131105-15:40:13.868] INFO: listen on 127.0.0.1:8300
[6990 131105-15:40:13.868] INFO: connect to 127.0.0.1:8000 ...
[6990 131105-15:40:13.868] INFO: connect to center ok
[6990 131105-15:40:13.868] INFO: load tplt: ./res/tbl/roledata.tbl
[6990 131105-15:40:13.868] INFO: Shaco start
[6990 131105-15:40:13.886] DEBUG: Receive msg:2, from center, to service:node
[6990 131105-15:40:13.886] INFO: node register, NODE[center0000,T00,C0001,L127.0.0.1:8000,N127.0.0.1:8000,G127.0.0.1:18000]
[6990 131105-15:40:13.886] DEBUG: Receive msg:1, from redisproxy, to service:node
[6990 131105-15:40:13.886] INFO: node register, NODE[redisproxy0000,T04,C0002,L127.0.0.1:59586,N127.0.0.1:8400,G0.0.0.0:0]
[6990 131105-15:40:14.879] DEBUG: Receive msg:1, from game, to service:node
[6990 131105-15:40:14.879] INFO: node register, NODE[game0000,T02,C0003,L127.0.0.1:59589,N127.0.0.1:8200,G192.168.1.145:18200]
[6990 131105-15:40:15.383] DEBUG: Receive msg:1, from gate, to service:node
[6990 131105-15:40:15.383] INFO: node register, NODE[gate0000,T01,C0004,L127.0.0.1:59591,N127.0.0.1:8100,G192.168.1.145:18100]
[6990 131105-15:40:20.113] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:40:20.114] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:40:20.114] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:40:20.115] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:40:21.753] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:40:21.753] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:40:21.754] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:40:21.754] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:40:23.609] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:40:23.609] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:40:23.610] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:40:23.611] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:40:24.697] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:40:24.697] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:40:24.698] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:40:24.698] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:40:25.649] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:40:25.649] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:40:25.650] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:40:25.650] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:40:26.537] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:40:26.537] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:40:26.538] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:40:26.538] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:40:27.281] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:40:27.281] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:40:27.282] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:40:27.282] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:40:28.033] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:40:28.033] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:40:28.034] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:40:28.034] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:40:28.969] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:40:28.969] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:40:28.970] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:40:28.970] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:40:29.793] DEBUG: Receive msg:12, from gate, to service:world
